Título,Autor,Ano de publicação,Número de páginas
O Pequeno Príncipe,Antoine de Saint-Exupéry,1943,96
Os Segredos das Apresentações Poderosas,Roberto Shinyashiki,2012,210
A Arte da Guerra,Sun Tzu,2014,154
Grande Sertão: Veredas,João Guimarães Rosa,1970,462
Harry Potter e a Pedra Filosofal,J.K. Rowling,1997,312
O Senhor dos Anéis: A Sociedade do Anel,J. R. R. Tolkien,1954,576
Quem Mexeu no Meu Queijo?,Spencer Johnson,1998,112
A Cabana,William P. Young,2008,240
Os Sete Pecados Capitais: Ira,Janaina Storfe,2024,182
Um Certo Capitão Rodrigo,Erico Verissimo,2005,192
